experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #263,SVM,0.9792256846081208,0.9751665888121256,0.9847970306906744,0.978643216080402,0.971771911445015,0.9851170746685858,0.9936224489795918,0.9611874859269626,0.9764845588381692,0.9860759493670886,0.9670243856307008,0.9798119991582952
experiment #263,Neural Network,0.9622285174693108,0.9800186044770276,0.9871205330911854,0.996,0.98295625430417,0.992349033073847,0.9528061224489796,0.9872984037413064,0.9934212518520882,0.9739243807040416,0.9866200599074588,0.9913525372671252
experiment #263,Decision Tree,0.9830028328611898,0.9728007461669091,0.983005509851923,0.989769820971867,0.9610488090543292,0.9782283693798264,0.9872448979591836,0.9674092593997834,0.978163924624053,0.9885057471264368,0.9645364194036888,0.9776777648712112
experiment #264,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #264,Neural Network,0.7412653446647781,0.8083751348057041,0.8309250756305052,0.7410207939508506,0.8163103203529607,0.8408706834573947,1.0,0.949321976473078,0.9629070282175346,0.8512486427795874,0.8816569991295709,0.8936278707617205
experiment #264,Decision Tree,0.9546742209631728,0.8372790595512464,0.8488442774676929,0.9634760705289672,0.7864177881386126,0.800049481655703,0.9757653061224488,0.7844624856033061,0.8091426238282168,0.9695817490494296,0.7854197833446488,0.8042060794024875
experiment #265,SVM,0.980169971671388,0.9777282625711174,0.9848761530225624,0.979874213836478,0.9743780466496512,0.9849412165186788,0.9936224489795918,0.9645846459673456,0.9777741145530048,0.986700443318556,0.9704194172530584,0.9799821192157624
experiment #265,Neural Network,0.9565627950897072,0.9764368831505924,0.985795167354098,0.9946380697050938,0.9821533498007272,0.991585799289212,0.9464285714285714,0.9828495567023486,0.9927978120568882,0.9699346405228758,0.9841722177221418,0.9904720891519012
experiment #265,Decision Tree,0.9745042492917848,0.9666076247327232,0.977488391246162,0.9821656050955414,0.9558737682796836,0.972882592788357,0.9834183673469388,0.954599121487119,0.969994726597068,0.982791586998088,0.9560267781855872,0.9703648763341464
experiment #266,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #266,Neural Network,0.7488196411709159,0.8554515434349875,0.8839314147987748,0.7466666666666667,0.8621882145390346,0.8926722224805596,1.0,0.9508676748458502,0.9684550778367946,0.8549618320610687,0.9080230932121258,0.9250216112863424
experiment #266,Decision Tree,0.9518413597733713,0.8613891087635118,0.879121644883455,0.9680715197956578,0.8184591627105129,0.8392663690908377,0.9668367346938777,0.8156256273310882,0.8484675622447129,0.967453733248245,0.8171922480112578,0.84302815883226
